Date,Nom_GDP_CAN,Real_GDP_CAN,CPI_CAN,UNEMP_CAN,WUICAN,CAN_unc_h1,CAN_unc_h2,CAN_unc_h4,mean_EPU_CAN,mean_UNEMP_DUR_1_4,mean_UNEMP_DUR_TOT,mean_PROB_JOB_FINDING,mean_OUTFLOW_RATE,mean_US_unc_h1,mean_US_unc_h3,mean_US_unc_h12
1984-04-01,114888,228875.8,47.6692125362128,11.5,0.0445812,0.744383735564343,0.810639968104841,0.865631051907715,NaN,370.566666666667,1464.3,26.1667872232226,30.3579415757922,0.609828110685037,0.746946167790879,0.907484461617926
1984-07-01,116295,229838.3,48.0642612588886,11.4333333333333,0,0.726350029771196,0.795561273254073,0.85706846169712,NaN,395.833333333333,1465.36666666667,26.1713332482437,30.4300589477632,0.617225788906505,0.754492163649059,0.916541219873622
1984-10-01,118843,233480,48.4329734000527,11.2666666666667,0,0.722674345218545,0.792201522333643,0.853968422069464,NaN,368.4,1447.93333333333,27.2455444035694,31.8373135555724,0.620882226817688,0.759449049301397,0.923991089609043
1985-01-01,121524,237027.5,48.9860416117988,10.8,0,0.720453412529132,0.790740611677422,0.853473730242834,100.404535738634,358.4,1390.7,24.9097473085281,28.6696764208202,0.622222872888247,0.762472413281207,0.926270113766428
1985-04-01,123838,237783,49.5654464050566,10.7,0,0.723135952482539,0.793325493133295,0.854581657684332,64.0395277120058,362.666666666667,1389.16666666667,27.0226533169444,31.5136045017066,0.617934510584599,0.757824214617313,0.923410793109243
1985-07-01,125968,240799.8,50.0395048722676,10.3,0,0.72321493632648,0.793225228282275,0.854872530924843,81.806892969033,358.566666666667,1346.06666666667,27.1167182877153,31.6364367999723,0.605232650216681,0.743398657914332,0.908770643454616
1985-10-01,128697,244495.5,50.4345535949434,10.2333333333333,0,0.731536919976246,0.799375086750823,0.857321385772965,72.0799111409195,366.766666666667,1343.9,28.2752642048279,33.2435592502549,0.627987775203057,0.765061595597135,0.916832976616285
1986-01-01,129653,244422,51.0929681327364,9.83333333333334,0,0.745586695453159,0.810709764079614,0.864049567824601,91.6602656413546,364.6,1300.86666666667,28.5323586579954,33.5954933476236,0.675391269334661,0.809201594549404,0.937762690343681
1986-04-01,130961,245811.5,51.5143534369239,9.6,0,0.74815193776663,0.812234093242368,0.865730210370936,73.6902480686216,363.8,1272.2,28.8204084473808,34.0038881660498,0.663399964293983,0.799622383743883,0.931153418192459
1986-07-01,132555,246121.8,52.1200948116934,9.56666666666667,0,0.732445623209101,0.801622804410339,0.861284394338365,99.0726496067949,354.4,1271.36666666667,28.167385631892,33.0865001135396,0.646611426206735,0.782461768947945,0.918539247646085
1986-10-01,133461,244344.5,52.6468264419278,9.43333333333333,0,0.738714300390395,0.807729396418284,0.864809517141361,73.2343491194425,350.1,1257.06666666667,27.075392347187,31.5755348667441,0.653125907367802,0.785906798503023,0.917243777727619
1987-01-01,138121,249982,53.1472214906505,9.46666666666667,0,0.747278193705282,0.818152930691518,0.872504869272003,59.5282620842929,343.2,1269.63333333333,27.9834687400014,32.8327641147318,0.6595658178678,0.791078680912557,0.920352950186595
1987-04-01,141855,253210.8,53.9109823544904,9,0,0.749485455082142,0.819288033109434,0.87350724198943,74.8272094990245,333.233333333333,1214,28.5852182405086,33.6708108192116,0.606323817473066,0.742313875887853,0.89846767268303
1987-07-01,145420,257064.8,54.4903871477482,8.56666666666666,0,0.749157634506867,0.816304819227258,0.870997363437613,50.0229938709474,328.433333333333,1164.1,29.6223211678017,35.1300327524324,0.600889663880391,0.739185395522333,0.896107053871695
